Campaign id,status,hits,cost
1807205,Running,32289,4.95
1250662,Paused,,0
1334631,Running,,0
1807207,Running,129130,22.605
1888370,Running,66798,5.8261896
1790579,Running,261234,6.161
1418355,Running,17092,2.237544474
1790581,Running,43274,6.49
1790583,Running,19862,0.183
1250682,Paused,,0
1300859,Running,3083678,257.6047498
1281916,Running,65718,8.01174451
1300869,Running,2090816,169.3483189
1418377,Running,120310,30.0775
1281944,Running,,0
1253024,Running,85768,9.606016
1281952,Running,817364,98.8846368
1253028,Running,70575,10.7274
1281956,Running,557305,67.4099616
1696681,Running,287111,34.46453957
1431467,Running,1457351,116.7480062
1431469,Running,123771,9.923763987
1281966,Running,,0
1244846,Running,1129430,115.20186
1442739,Running,4115776,511.58557
1244856,Running,13340810,245.2588521
1334713,Paused,,0
1431489,Paused,,0
1281986,Paused,,0
1284292,Paused,,0
1431495,Running,12640,1.05
1694159,Running,152341,180.1905746
1391059,Paused,,0
1521375,Running,44454,11.1135
1284322,Paused,,0
1712099,Running,452669,452.669
1245412,Running,45375,10.58107215
1331941,Running,223527,17.9247328
1253096,Paused,,0
1391081,Running,332412,31.67245506
1438955,Running,197208,49.531192
1245422,Running,88567,33.44868124
1253102,Paused,,0
1284338,Running,1,8.00E-05
1300469,Running,,0
1300471,Paused,,0
1445881,Running,68936,9.9
1284346,Running,,0
1246974,Paused,,0
1645055,Running,42,0.003365903
1230336,Paused,,0
1234176,Paused,,0
1234188,Paused,,0
1231402,Paused,,0
1234760,Paused,,0
1233268,Paused,,0
1233274,Paused,,0
1233282,Paused,,0
1233294,Paused,,0
1246378,Paused,,0
1234156,Paused,,0
1247986,Paused,,0
1250298,Paused,,0
1255932,Paused,,0
1230332,Paused,,0
1255934,Paused,,0
1374979,Running,447166,44.94051241
1281546,Paused,,0
1281548,Paused,,0
1790477,Running,,0
1281550,Paused,,0
1281552,Paused,,0
1379857,Running,1404410,318.6491398
1272088,Running,287232,57.4472818
1250336,Paused,,0
1272096,Paused,,0
1332005,Running,73349,14.58658948
1246278,Paused,,0
1332041,Running,1,0
1247564,Paused,,0
1514835,Running,1,0
1299299,Paused,,0
1299303,Running,1257477,266.816672
1299307,Running,52683,12.11431139
1807213,Running,842796,112.9687008
1807219,Paused,,0
1281654,Paused,,0
1807227,Running,1030318,103.0722914
1287548,Paused,,0
1281670,Running,119248,22.45083628
1807239,Running,59905,10.96398531
1807241,Running,161357,33.83558694
1246346,Paused,,0
1807247,Running,86448,13.85437688
1281682,Paused,,0
1807251,Paused,,0
1281428,Paused,,0
1281686,Running,95118,14.74329
1245338,Running,234855,67.70908112
1246362,Paused,,0
1287602,Paused,,0
1281724,Paused,,0
1281476,Paused,,0
1509843,Running,58857,0.2549998
1465815,Running,1220234,122.1139517
1818071,Running,1504483,194.6774983
1281496,Paused,,0
1465817,Rejected,,0
1272028,Paused,,0
1330653,Paused,,0
1272032,Paused,,0
1272034,Paused,,0
1281508,Running,1684284,168.6741894
1272038,Paused,,0
1255914,Paused,,0
1281514,Running,12133,1.273965
1465841,Running,245259,49.17792683
1281528,Running,1126241,112.8648152
1250302,Running,993169,5.642
1788927,Running,136397,13.91527677
1374975,Paused,,0
1311747,Running,229275,24.24550451
1311751,Running,103730,15.66172926
1487131,Running,64577,30.34769285
1311787,Running,44840,5.1844096
1311795,Running,611282,51.7880563
1311799,Running,168583,48.78011007
1248328,Paused,,0
1248334,Running,198262,89.21318501
1293924,Running,6975,3.22548603
1293926,Running,12928,1.37407647
1230728,Running,207764,72.26314502
1230732,Paused,,0
1596063,Paused,,0
1248416,Paused,,0
1596067,Running,2835,6.23733
1248434,Running,172890,22.60539164
1248448,Paused,,0
1248468,Running,6788,0.959443045
1248476,Running,13900,1.455734669
1248478,Running,5775,3.10513143
1231074,Running,,0
1311467,Paused,,0
1515501,Paused,,0
1515503,Paused,,0
1515505,Paused,,0
1311733,Running,58817,12.72533264
1487095,Running,1054312,360.9277793
1487097,Paused,,0
1487119,Paused,,0
1487123,Paused,,0
1487135,Running,296347,117.9023121
1303927,Running,10141,1.059480127
1303937,Running,140692,92.6660774
1311623,Paused,,0
1293972,Running,295457,95.77231435
1293974,Running,212212,27.54819257
1230758,Running,477561,185.7812792
1230762,Paused,,0
1305535,Running,103865,30.8461328
1305537,Running,19302,2.869128663
1305539,Running,3055,0.91539079
1230788,Running,,0
1487091,Running,389196,85.14218548
1247570,Paused,,0
1255858,Paused,,0
1255860,Paused,,0
1255862,Paused,,0
1255866,Paused,,0
1255870,Paused,,0
1257928,Paused,,0
1257936,Paused,,0
1257940,Running,18518,3.169189515
1257942,Running,15634,2.355080097
1248732,Paused,,0
1257950,Paused,,0
1257952,Paused,,0
1257956,Running,1670,0.227341639
1257958,Running,604,0.073365571
1248748,Running,6753,1.078180892
1257966,Running,79,0.011006916
1531917,Running,10320,1.032
1515575,Running,5249,0.306
1504823,Paused,,0
1418311,Running,117555,11.346
1439559,Running,1703352,17.75
1439561,Paused,,0
1554511,Running,72385,7.256176697
1431127,Running,20909,1.136
1282916,Paused,,0
1258086,Paused,,0
1282920,Paused,,0
1282922,Running,34988,3.498917074
1282924,Running,19187,1.918753985
1790575,Running,125999,12.338
1790577,Running,332472,13.419
1282930,Paused,,0
1476469,Paused,,0
1282938,Paused,,0
1442171,Paused,,0
1330557,Running,407761,40.79372632
1418369,Running,1246,0.12528
1519493,Running,111863,5.307
1282962,Running,568825,85.35658631
1358753,Running,91848,9.226859346
1302183,Paused,,0
1340339,Paused,,0
1283004,Paused,,0
1442759,Running,22132,2.62487113
1531849,Running,4487,0.448873901
1608939,Running,60697,1.9889993
1597933,Running,257320,51.27540552
1257824,Paused,,0
1257874,Paused,,0
1257878,Paused,,0
1257880,Paused,,0
1257882,Paused,,0
1257884,Paused,,0
1257886,Paused,,0
1529859,Running,92146,14.86088685
1272116,Paused,,0
1272124,Running,215080,24.19380403
1272126,Running,54473,22.30873733
1272128,Running,240205,106.9962933
1303929,Running,48652,4.91332226
1303939,Running,455,0.2162184
1311639,Paused,,0
1305559,Running,59423,17.18703619
1305561,Running,6444,0.801577005
1305567,Running,2099,0.847062293
1529841,Running,450895,121.6667876
1529843,Running,245899,68.36075604
1529847,Running,83075,13.8931538
1287426,Running,6091,1.207
1431047,Running,8,0.002
1452051,Running,1661029,44.1
1418305,Running,58693,1.5
1504833,Paused,,0
1439555,Paused,,0
1790561,Running,178923,3.84
1302115,Running,269509,27.03031942
1515645,Running,19924,1.2749984
1302147,Running,10462,2.615728
1302151,Paused,,0
1282976,Paused,,0
1282978,Running,2012,0.3021143
1282984,Paused,,0
1282986,Running,15529,2.293612297
1282988,Paused,,0
1305261,Paused,,0
1282994,Running,3158,0.401827419
1283000,Paused,,0
1702593,Paused,,0
1293840,Paused,,0
1476373,Running,13997,0.48
1293848,Paused,,0
1293856,Paused,,0
1293858,Paused,,0
1608995,Running,332843,2.3459994
1293860,Running,45803,4.857795837
1504829,Paused,,0
1398595,Paused,,0
1398605,Running,3013,0
1398607,Paused,,0
1515603,Paused,,0
1439571,Running,1029364,6.85
1790563,Paused,,0
1523569,Running,434,0
1503421,Paused,,0
1552835,Running,1027,0.1027
1305307,Paused,,0
1305311,Paused,,0
1442803,Running,756,0.0765425
1293862,Running,16412,6.273095424
1293866,Running,12950,5.637671514
1293870,Paused,,0
1293880,Paused,,0
1303921,Running,1252,0.143180671
1303931,Running,692,0.112921376
1311613,Running,146186,27.80938382
1305489,Running,7985,2.304555134
1305491,Running,1025,0.173861778
1305493,Running,237,0.098131505
1293902,Running,69384,16.54729482
1293904,Running,56182,18.92095759
1293910,Paused,,0
1293912,Paused,,0
1303923,Running,4989,0.600715055
1311611,Paused,,0
1303935,Running,2110,0.322929003
1305513,Running,30460,8.261089323
1305517,Running,437,0.061810567
1305519,Running,1077,0.325327123
1303925,Running,3124,0.342464368
1303933,Running,1665,0.25225236
1311619,Running,197487,32.01639603
1305497,Paused,,0
1305507,Running,3095,0.423750186
1303999,Running,401,0.156509664
1304001,Running,18235,6.238704474
1304003,Running,17542,5.345428802
1304005,Paused,,0
1304007,Paused,,0
1490437,Paused,,0
1503815,Running,180849,3.904
1476453,Paused,,0
1790573,Running,689524,22.448
1476461,Running,153038,20.90619915
1455029,Running,516180,51.82941302
1455039,Running,243584,24.3584
1455041,Running,339198,33.93517445
1773557,Running,38491,5.742055884
1766403,Paused,,0
1734263,Running,9678,0.969434691
1734265,Paused,,0
1807231,Running,46675,8.333240214
1456547,Paused,,0
1456551,Paused,,0
1456557,Paused,,0
1518347,Running,719635,13.237
1694233,Paused,,0
1694237,Running,56436,7.976186011
1644839,Running,139162,19.14911549
1644843,Paused,,0
1644849,Paused,,0
1476445,Paused,,0
1476447,Running,6,0.001010927
1609397,Running,52071,5.2071
1521599,Running,1641,0.19416024
1490389,Paused,,0
1465049,Running,1635916,163.9403094
1465051,Running,437711,43.8594628
1465053,Running,171961,17.1961
1465063,Paused,,0
1465065,Running,384745,31.06924655
1465067,Running,131585,10.59086204
1790559,Running,724172,6.222
1534825,Paused,,0
1537135,Running,1504147,6.2729984
1528191,Running,452229,87.87380879
1534857,Running,213595,21.38604449
1518789,Running,130671,13.07417291
1518791,Running,298928,29.97904007
1518793,Running,304378,30.5274812
1551049,Running,1201228,35.38
1629395,Running,104473,10.4473
1549409,Paused,,0
1597869,Paused,,0
1597871,Paused,,0
1597873,Paused,,0
1603811,Paused,,0
1603815,Paused,,0
1603821,Paused,,0
1603827,Paused,,0
1603829,Paused,,0
1603831,Paused,,0
1603835,Paused,,0
