Campign Id,Visits,Clicks,Conversions,Revenue,CTR,CR,CV,EPV,EPC,AP
1700921,1089,273,62,155.1,0.250689,0.227106,0.056933,0.1424,0.5681,2.5016
1431545,6048,619,60,148,0.102348,0.096931,0.009921,0.0245,0.2391,2.4667
1272128,6151,2057,57,157.4624,0.334417,0.02771,0.009267,0.0256,0.0765,2.7625
1465049,2779,470,55,137.7,0.169126,0.117021,0.019791,0.0496,0.293,2.5036
1528191,2029,205,47,99.6,0.101035,0.229268,0.023164,0.0491,0.4859,2.1191
1818071,1587,485,47,141.8,0.305608,0.096907,0.029616,0.0894,0.2924,3.017
1245338,1228,484,45,138,0.394137,0.092975,0.036645,0.1124,0.2851,3.0667
1622511,2423,699,44,111.4,0.288485,0.062947,0.018159,0.046,0.1594,2.5318
1694159,6696,480,44,113.2,0.071685,0.091667,0.006571,0.0169,0.2358,2.5727
1807227,6192,634,41,113.95,0.10239,0.064669,0.006621,0.0184,0.1797,2.7793
1281528,5276,556,39,120.5,0.105383,0.070144,0.007392,0.0228,0.2167,3.0897
1303937,918,354,38,96.35,0.385621,0.107345,0.041394,0.105,0.2722,2.5355
1431525,2683,467,38,94,0.174059,0.08137,0.014163,0.035,0.2013,2.4737
1244856,13314,765,37,93.75,0.057458,0.048366,0.002779,0.007,0.1225,2.5338
1694305,636,230,35,88.9,0.361635,0.152174,0.055031,0.1398,0.3865,2.54
1515581,7925,860,35,117.2,0.108517,0.040698,0.004416,0.0148,0.1363,3.3486
1431467,12522,1372,34,136.35,0.109567,0.024781,0.002715,0.0109,0.0994,4.0103
1807213,2265,323,32,88.7,0.142605,0.099071,0.014128,0.0392,0.2746,2.7719
1300855,1790,432,31,78.5,0.241341,0.071759,0.017318,0.0439,0.1817,2.5323
1700869,359,221,31,112.15,0.615599,0.140271,0.086351,0.3124,0.5075,3.6177
1698295,641,342,31,78.8,0.533541,0.090643,0.048362,0.1229,0.2304,2.5419
1248334,4494,963,30,80.45,0.214286,0.031153,0.006676,0.0179,0.0835,2.6817
1281952,12203,763,29,70.35,0.062526,0.038008,0.002376,0.0058,0.0922,2.4259
1300869,10245,255,28,74.15,0.02489,0.109804,0.002733,0.0072,0.2908,2.6482
1465065,23748,444,26,25.6,0.018696,0.058559,0.001095,0.0011,0.0577,0.9846
